Type,Assembly,Haplotype,Dataset,Classification,Number,Total,Percentage
Annotation,Cleaned Haplotype 1,Haplotype 1,Arthropoda,Complete (C) and Duplicated (D),121,1013,11.94
Annotation,Cleaned Haplotype 1,Haplotype 1,Arthropoda,Fragmented (F),4,1013,0.39
Annotation,Cleaned Haplotype 1,Haplotype 1,Arthropoda,Missing (M),14,1013,1.38
Annotation,Cleaned Haplotype 1,Haplotype 1,Eukaryota,Complete (C) and Single-copy (S),220,255,86.27
Annotation,Cleaned Haplotype 1,Haplotype 1,Eukaryota,Complete (C) and Duplicated (D),33,255,12.94
Annotation,Cleaned Haplotype 1,Haplotype 1,Eukaryota,Fragmented (F),0,255,0
Annotation,Cleaned Haplotype 1,Haplotype 1,Eukaryota,Missing (M),2,255,0.78
Annotation,Cleaned Haplotype 1,Haplotype 1,Insecta,Complete (C) and Single-copy (S),1169,1367,85.52
Annotation,Cleaned Haplotype 1,Haplotype 1,Insecta,Complete (C) and Duplicated (D),158,1367,11.56
Annotation,Cleaned Haplotype 1,Haplotype 1,Insecta,Fragmented (F),7,1367,0.51
Annotation,Cleaned Haplotype 1,Haplotype 1,Insecta,Missing (M),33,1367,2.41
Annotation,Cleaned Haplotype 2,Haplotype 2,Arthropoda,Complete (C) and Single-copy (S),871,1013,85.98
Annotation,Cleaned Haplotype 2,Haplotype 2,Arthropoda,Complete (C) and Duplicated (D),121,1013,11.94
Annotation,Cleaned Haplotype 2,Haplotype 2,Arthropoda,Fragmented (F),3,1013,0.3
Annotation,Cleaned Haplotype 2,Haplotype 2,Arthropoda,Missing (M),18,1013,1.78
Annotation,Cleaned Haplotype 2,Haplotype 2,Eukaryota,Complete (C) and Single-copy (S),222,255,87.06
Annotation,Cleaned Haplotype 2,Haplotype 2,Eukaryota,Complete (C) and Duplicated (D),29,255,11.37
Annotation,Cleaned Haplotype 2,Haplotype 2,Eukaryota,Fragmented (F),3,255,1.18
Annotation,Cleaned Haplotype 2,Haplotype 2,Eukaryota,Missing (M),1,255,0.39
Annotation,Cleaned Haplotype 2,Haplotype 2,Insecta,Complete (C) and Single-copy (S),1168,1367,85.44
Annotation,Cleaned Haplotype 2,Haplotype 2,Insecta,Complete (C) and Duplicated (D),153,1367,11.19
Annotation,Cleaned Haplotype 2,Haplotype 2,Insecta,Fragmented (F),0.51,1367,0.51
Annotation,Cleaned Haplotype 2,Haplotype 2,Insecta,Missing (M),2.85,1367,2.85
